Successful: 4728
Failed: 2328
Sent to users:
419. User ID: 439319512, Status: Delivered
420. User ID: 439637013, Status: Not delivered
421. User ID: 440708070, Status: Delivered
422. User ID: 441528687, Status: Not delivered
423. User ID: 442654316, Status: Not delivered
424. User ID: 445525585, Status: Delivered
425. User ID: 445631772, Status: Not delivered
426. User ID: 446430010, Status: Not delivered
427. User ID: 447374458, Status: Not delivered
428. User ID: 449679731, Status: Delivered
429. User ID: 449783799, Status: Delivered
430. User ID: 450063459, Status: Delivered
431. User ID: 450126040, Status: Delivered
432. User ID: 451756650, Status: Delivered
433. User ID: 453251787, Status: Not delivered
434. User ID: 453908539, Status: Not delivered
435. User ID: 454028121, Status: Not delivered
436. User ID: 454514611, Status: Delivered
437. User ID: 455062007, Status: Delivered
438. User ID: 455812982, Status: Delivered
439. User ID: 456200245, Status: Not delivered
440. User ID: 457182099, Status: Delivered
441. User ID: 457584604, Status: Not delivered
442. User ID: 457709575, Status: Not delivered
443. User ID: 458779975, Status: Delivered
444. User ID: 459262671, Status: Delivered
445. User ID: 459519336, Status: Not delivered
446. User ID: 460869305, Status: Delivered
447. User ID: 460947749, Status: Not delivered
448. User ID: 461064083, Status: Delivered
449. User ID: 462103693, Status: Delivered
450. User ID: 462476614, Status: Not delivered
451. User ID: 462924501, Status: Not delivered
452. User ID: 463340700, Status: Delivered
453. User ID: 464961260, Status: Delivered
454. User ID: 466107472, Status: Not delivered
455. User ID: 466905690, Status: Not delivered
456. User ID: 468462822, Status: Delivered
457. User ID: 469919008, Status: Delivered
458. User ID: 469998264, Status: Delivered
459. User ID: 470240933, Status: Delivered
460. User ID: 470513035, Status: Delivered
461. User ID: 470764765, Status: Not delivered
462. User ID: 471023353, Status: Delivered
463. User ID: 471070611, Status: Not delivered
464. User ID: 472453338, Status: Delivered
465. User ID: 472500535, Status: Delivered
466. User ID: 473463805, Status: Not delivered
467. User ID: 474003339, Status: Delivered
468. User ID: 475732890, Status: Delivered
469. User ID: 475961059, Status: Delivered
470. User ID: 476699049, Status: Delivered
471. User ID: 477613925, Status: Not delivered
472. User ID: 479172921, Status: Delivered
473. User ID: 479316452, Status: Not delivered
474. User ID: 479822326, Status: Delivered
475. User ID: 481477901, Status: Delivered
476. User ID: 481490772, Status: Delivered
477. User ID: 482622217, Status: Not delivered
478. User ID: 482953192, Status: Not delivered
479. User ID: 483691145, Status: Delivered
480. User ID: 484550232, Status: Delivered
481. User ID: 484849598, Status: Delivered
482. User ID: 485989823, Status: Not delivered
483. User ID: 486851386, Status: Not delivered
484. User ID: 487515270, Status: Delivered
485. User ID: 488056439, Status: Delivered
486. User ID: 488420202, Status: Delivered
487. User ID: 489145445, Status: Delivered
488. User ID: 489409762, Status: Delivered
489. User ID: 489999040, Status: Not delivered
490. User ID: 490633115, Status: Delivered
